Document Name,Document Type,Scan Date,Uploaded By,Document ID,Invoice Number,Invoice Date,Submitted Date,Supplier Name,Supplier No,Buyer Name,Exceptions,Reject Reason,Cost Center,Currency,Gross Amount,GST/ABN/ACRA,PO Number,Status,Sync Status,Remarks
SoniaTest9-2020 Sodexo 83-converted.pdf,Invoice,20/01/2022,sodexo.india@checkaninvoice.com,198486462,083/2019-20,01/09/2020,03/01/2021,JANHAVI SITARAM DESAI,,Sodexo India Services Private Limited,,,,INR,282315.00,27ADXPD4035A1ZS,PO/0003223-D50803,Exceptions Approved,Synced,
6.pdf,Invoice,,,198484439,59/2021-22,30/11/2021,,Likhita Transports,,M/s Sodexo India Services Pvt Ltd,,,,INR,57750.00,37AMEPL9478M3Z3,PO/SERVI/022759,Supplier Approval Pending,,
3.pdf,Invoice,,,198484225,645,28/06/2021,,YAQOOB TANNERS,VND017613,SODEXO INDIA SERVICES PVT LTD,,,,INR,9302.00,09AAAPQ1575A1ZZ,P0/018495,Supplier Approval Pending,,
2.pdf,Invoice,20/01/2022,,198468979,KA-670/21-22,11/10/2021,,SOBHA PROJECTS AND TRADE PVT.LTD,34324,Sodexo India Services Private Limited,,,,INR,230130.00,29AAECS5022R1ZT,PO/SERV//016244,Exceptions Approved,Synced,
2.pdf,Invoice,20/01/2022,,198468398,9867,12/12/2019,,Pulkit Traders,09897,Sodexo India Services Private Limited,,,,INR,35104.50,123456789,po/12//232021,Exceptions Approved,Synced,
9.pdf,Invoice,20/01/2022,,198468396,9867,12/12/2022,,Pulkit Traders,09897,Sodexo India Services Private Limited,,,,USD,35104.50,123456789,po/12//232021,Exceptions Approved,Synced,
2.pdf,Invoice,02/01/2022,,198468382,KA-670/21-22,11/10/2021,,SOBHA PROJECTS AND TRADE PVT.LTD,34324,Sodexo Food Solutions India Pvt Ltd,,Place your customized reason here,,INR,230130.00,29AAECS5022R1ZT,PO/SERV//016244,Rejected,,
2.pdf,Invoice,20/01/2022,,198426310,KA-670/21-22,11/10/2021,,HUMAIN HEALTH,,Sodexo India Services Pvt Ltd,,,,inr,230130.00,29AAECS5022R1ZT,PO/SERV//016244,Exceptions Approved,Not synced,
2021626800.pdf,Invoice,31/12/2021,,198426214,21-22-410,10/12/2021,,HUMAIN HEALTH,1234,Sodexo Food Solutions India Pvt Ltd,,HSN/SAC Code missing on the invoice,,inr,1000.00,33AAHCD1143R1Z1,PUR2588314,Rejected,,
SoniaTest20.pdf,Invoice,30/12/2021,sodexo.india123@checkaninvoice.com,198417233,21-22-410,10/12/2021,30/12/2021,Humain Healthtech Private Limited,VND018252,Sodexo India Services Pvt Ltd,,The invoice was rejected because the supplier was not approved by Pankaj.,,INR,1000.00,33AAHCD1143R1ZI,PUR2588314,Rejected,,
SoniaTest20.pdf,Invoice,30/12/2021,sodexo.india123@checkaninvoice.com,198417005,21-22-411,10/12/2021,30/12/2021,HUMAIN HEALTH,78987,Sodexo India Services Private Limited,,,41040601,inr,1000.00,33AAHCD1143R1Z1.,PO/0003223-D50803,Supplier Approval Pending,,
SoniaTest19.pdf,Invoice,31/12/2021,sodexo.india@checkaninvoice.com,198416818,21-22-410,10/12/2021,15/12/2021,HUMAIN HEALTH,56657,Sodexo Technical Services India Pvt Ltd.,,Place your customized reason here,41040601,inr,1000.00,33AAHCD1143R1Z1.,,Rejected,,
SoniaTest18.pdf,Invoice,12/12/2021,sodexo.india@checkaninvoice.com,198415874,21-22-410,31/12/2021,12/12/2021,HUMAIN HEALTH,VMD1089808,Sodexo India Services Pvt. Ltd.,,,41040601,inr,1000.00,33AAHCD1143R1Z1.,,Supplier Approval Pending,,
SoniaTest17.pdf,Invoice,12/12/2021,sodexo.india@checkaninvoice.com,198415726,21-22-410,10/12/2021,12/12/2021,Humain Healthtech Private Limited,VND018252,Sodexo India Services Pvt Ltd,,The invoice was rejected because the supplier was not approved by Pankaj.,,INR,1000.00,33AAHCD1143R1ZI,,Rejected,,
Dominos1.pdf,Invoice,,,198415449,,,,,,Not available,,Non Invoice,,,,,,Rejected,,
Dominos1.pdf,Invoice,,,198415372,,,,,,Not available,,non invoice,,,,,,Rejected,,
SoniaTest16.pdf,Invoice,12/12/2021,sodexo.india@checkaninvoice.com,198415294,21-22-410,18/07/2021,12/12/2021,HUMAIN HEALTH,VMD1089808,Sodexo India Services Pvt. Ltd.,,,,INR,1000.00,33AAHCD1143R1Z1.,PUR2546160,Supplier Approval Pending,,
SoniaTest2021626801.pdf,Invoice,12/12/2021,sodexo.india@checkaninvoice.com,198414881,21-22-410,18/07/2021,12/12/2021,HUMAIN HEALTH,VMD1089808,Sodexo India Services Pvt. Ltd.,,,,,1001.00,33AAHCD1143R1Z1,PUR/003223,Supplier Approval Pending,,
SoniaTest2021626800.pdf,Invoice,12/12/2021,sodexo.india@checkaninvoice.com,198414499,21-22-410,18/07/2021,12/12/2021,HUMAIN HEALTH,VMD1089808,Sodexo India Services Pvt. Ltd.,,,,,1000.00,33AAHCD1143R1Z1.,,Supplier Approval Pending,,
Dominos1.pdf,Invoice,12/12/2021,Jharna.agarwal@checkaninvoice.com,198412882,,,12/12/2021,,,Not available,,The document you uploaded is illegible. Our automation was not able to perform the scan.Please reload a clearer copy of the invoice,,,,,,Rejected,,
SoniaTest10MB1.pdf,Invoice,31/12/2021,sodexo.india@checkaninvoice.com,198412438,1232,12/12/2021,12/12/2021,test size,,Sodexo Technical Services India Pvt Ltd.,,,,inr,1200.00,09cmrps7797h1zq,PUR/003223,Exceptions Approved,Successfully Exported,
SoniaTest10MB1.pdf,Invoice,31/12/2021,sodexo.india@checkaninvoice.com,198411823,46567,31/12/2021,12/12/2021,test,13213,Sodexo Technical Services India Pvt Ltd.,,,,inr,1190.00,09fdgdh456,PUR/003223,Exceptions Approved,Successfully Exported,
SoniaTest9.pdf,Invoice,31/12/2021,sodexo.india@checkaninvoice.com,198411068,1234,31/03/2022,12/12/2021,syncing filesize issue,213,Sodexo Technical Services India Pvt Ltd.,,,,inr,1100.00,09cmrps9979h1zq,PO/003223-586 586A,Exceptions Approved,Successfully Exported,
SoniaTest13.pdf,Invoice,08/03/2022,sodexo.india@checkaninvoice.com,198410285,PPMS2005066,11/05/2021,12/12/2021,Pestonics Pest Managament Pvt Ltd,VND009217,M/s. Sodexo India Services Private. Limited,1. No PO number found in the Invoice and in Access HR data; 2. Vendor name & Address mismatch with the supplier master data.; 3. invoice is older than 6 months.; 4. CGST / SGST charged incorrectly as the buyer and the seller state is different.; 5. Potential duplicate invoice found with the same Currency and Amount,,41040601,INR,282415.00,06AAICP1794K1ZZ,sis/res/21SIS,Exceptions Alert,,
SoniaTest12.pdf,Invoice,31/12/2021,sodexo.india@checkaninvoice.com,198406644,083/2019-20,31/03/2021,12/12/2021,JANHAVI SITARAM DESAI,123,Sodexo Technical Services India Pvt Ltd.,,,,INR,282415.00,27ADXPD4035A1ZS,PO/003223-Non Veg Trans. Oct2,Exceptions Approved,Successfully Exported,
SoniaTest11.pdf,Invoice,31/12/2021,sodexo.india@checkaninvoice.com,198404832,,01/09/2020,12/12/2021,JANHAVI SITARAM DESAI,,Sodexo Technical Services India Pvt Ltd.,,HSN/SAC Code missing on the invoice,41040601,INR,282415.00,29ADXPD4035A1ZS,,Rejected,,
9new.pdf,Invoice,30/12/2021,,198349302,ysduy7887,12/12/2021,,SRINIVASA ENGINEERING SOLUTIONS,,Sodexo Food Solutions India Pvt Ltd,,,,INR,100.00,36ABPFS1302M1ZY,,Exceptions Approved,Successfully Exported,
invoice_1003_WITHGST.pdf,Invoice,31/12/2021,,198337924,1003,25/03/2020,,Gaurik Traders,,CHECK AN INVOICE,,Place your customized reason here,,INR,8000.00,0677PSRECM97HIZ,,Rejected,,
SoniaTest10.pdf,Invoice,30/12/2021,sodexo.india@checkaninvoice.com,198337116,083/2019-20,01/09/2020,12/12/2021,JANHAVI SITARAM DESAI,68868568,Sodexo Technical Services India Pvt Ltd.,,HSN/SAC Code missing on the invoice,21999966,INR,282315.00,27ADXPD4035A1ZS,,Rejected,,
SoniaTest09.pdf,Invoice,30/12/2021,sodexo.india@checkaninvoice.com,198336849,083/2019-20,01/09/2020,12/12/2021,JANHAVI SITARAM DESAI,,Sodexo Technical Services India Pvt Ltd.,,please check the reason from dropdown if not in the list  then place your reason here,,INR,282315.00,27ADXPD4035A1ZS,PO/SERV//019597,Rejected,,
SoniaTest08.pdf,Invoice,30/12/2021,sodexo.india@checkaninvoice.com,198336538,,01/09/2020,12/12/2021,JANHAVI SITARAM DESAI,43434,Sodexo Technical Services India Pvt Ltd.,,,,INR,282315.00,27ADXPD4035A1ZS,PO/003223-GGCL/21-22/0090,Exceptions Approved,Successfully Exported,
SoniaTest07.pdf,Credit Note,12/12/2021,sodexo.india@checkaninvoice.com,198336223,,01/09/2020,12/12/2021,JANHAVI SITARAM DESAI,2124242,Sodexo Technical Services India Pvt Ltd.,,,,INR,2200.00,27ADXPD4035A1ZS,,Processed,Successfully Exported,
SoniaTest06.pdf,Credit Note,12/12/2021,sodexo.india@checkaninvoice.com,198335977,083/2019-20,01/09/2020,12/12/2021,JANHAVI SITARAM DESAI,,Sodexo Technical Services India Pvt Ltd.,,,,INR,105.00,27ADXPD4035A1ZS,RS/KKD/21-22/NOV-21/210,Processed,Successfully Exported,
SoniaTest05.pdf,Invoice,30/12/2021,sodexo.india@checkaninvoice.com,198335894,083/2019-20,01/09/2020,12/12/2021,JANHAVI SITARAM DESAI,,Sodexo Technical Services India Pvt Ltd.,,,,inr,100.00,27ADXPD4035A1ZS,PO/003223-GGCL/21-22/0090,Exceptions Approved,Not synced,
SoniaTest04.pdf,Invoice,30/12/2021,sodexo.india@checkaninvoice.com,198335427,083/2019-20,01/09/2020,12/12/2021,JANHAVI SITARAM DESAI,,Sodexo Technical Services India Pvt Ltd.,,HSN/SAC Code missing on the invoice,,inr,1050.00,27ADXPD4035A1ZS,po/21//400088029,Rejected,,
SoniaTest03.pdf,Invoice,30/12/2021,sodexo.india@checkaninvoice.com,198334682,083/2019-20,01/09/2020,12/12/2021,JANHAVI SITARAM DESAI,,Sodexo Technical Services India Pvt Ltd.,,,,usd,282315.00,27ADXPD4035A1ZS,PO/003223 PO/SERV//019597-GGCL/21-22/0090,D50803,Exceptions Approved,Successfully Exported,
SoniaTest02.pdf,Invoice,30/12/2021,sodexo.india@checkaninvoice.com,198334651,083/2019-20,01/09/2020,12/12/2021,JANHAVI SITARAM DESAI,,Sodexo Technical Services India Pvt Ltd.,,Place your customized reason here,,inr,282315.00,27ADXPD4035A1ZS,PUR2460055 PUR2563013,Rejected,,
SoniaTest01.pdf,Invoice,30/12/2021,sodexo.india@checkaninvoice.com,198334259,083/2019-20,01/09/2019,12/12/2021,JANHAVI SITARAM DESAI,,Sodexo Technical Services India Pvt Ltd.,,,,inr,282315.00,27ADXPD4035A1ZS,PUR2552290,Exceptions Approved,Successfully Exported,
SoniaTest84.pdf,Invoice,30/12/2021,sodexo.india@checkaninvoice.com,198334170,083/2019-20,01/01/2022,12/12/2021,JANHAVI SITARAM DESAI,400088029,Sodexo Technical Services India Pvt Ltd.,,,,inr,282315.00,27ADXPD4035A1ZS,PUR2546160,Exceptions Approved,Not synced,
SoniaTest83.pdf,Invoice,30/12/2021,sodexo.india@checkaninvoice.com,198333677,083/2019-20,01/09/2020,12/12/2021,JANHAVI SITARAM DESAI,,Sodexo Technical Services India Pvt Ltd.,,HSN/SAC Code missing on the invoice,,inr,282315.00,27ADXPD4035A1ZS,PO/015030-D52419,Rejected,,
SoniaTest7.pdf,Invoice,30/12/2021,sodexo.india@checkaninvoice.com,198331071,192,01/12/2021,12/12/2021,Hanuman Mali,,Sodexo Technical Services India Pvt Ltd.,,Place your customized reason here,,INR,500.00,09CMROS9979H1ZQ,PO/SERV//019597-,Rejected,,
SoniaTest6.pdf,Invoice,30/12/2021,sodexo.india@checkaninvoice.com,198329681,59/2021-22,30/11/2021,12/12/2021,LIKITHA TRANSPORTS,,Sodexo Technical Services India Pvt Ltd.,,,,inr,57750.00,37AMEPL9478M3Z3,po/serv//022759,Exceptions Approved,Not synced,
1.pdf,Invoice,28/01/2022,,198325622,0530RU2122NV,30/03/2021,,Chennai Testing Laboratory Private Limited,,Sodexo India Services Private Limited,,,,inr,17328.00,,PO/SERV//022180,Exceptions Approved,Successfully Exported,
2.pdf,Invoice,30/12/2021,,198325618,KA-670/21-22,01/01/2021,,SOBHA PROJECTS AND TRADE PVT.LTD,,Sodexo Food Solutions India Pvt Ltd,1. Incorrect HSN code in the invoice  exceeding 8 digits.; 2. invoice is older than 6 months.; 3. Gross total mismatch,,,inr,230129.50,29AAECS5022R1ZT,PO/SERV//016244,Exceptions Alert,,
3.pdf,Invoice,29/04/2022,,198325614,6455,28/06/2021,,YAQOOB TANNERS,V53017613,Sodexo Food Solutions India Pvt Ltd,,,,INR,9302.00,09AAAPQ1575A1ZZ,P0/018495,Exceptions Approved,Not synced,test
4.pdf,Invoice,,,198325609,032/211,19/10/2020,,DINESH N RAIKUNDLIA,VMD0098,Sodexo India Services Private Limited,,The invoice was rejected because the supplier was not approved by Pankaj.,,INR,236.00,09CMRPS99709H1ZQ,P0/026S97,Rejected,,
5.pdf,Invoice,,,198325605,ISL-001263/ 21-22,16/10/2020,,DINESH N RAIKUNDLIA,,Sodexo India Services Private Limited,,,,INR,2496.25,06CMRPS99709H1ZQ,P0/026948,Supplier Approval Pending,,
4200.pdf,Invoice,12/12/2021,sodexo.india@checkaninvoice.com,198319125,022/21,19/10/2021,12/12/2021,DINESH N RAIKUNDLIA,VND006962,SODEXO INDIA SERVICES PVT LTD.(GOA),,,,INR,6000.00,,P0/026S97,Supplier Approval Pending,,
2021871170.pdf,Invoice,30/12/2021,,198318280,NP79506,31/03/2021,,NEEYOG PACKAGING,,Sodexo Food Solutions India Pvt Ltd,1. Checks for Individual Tax ID could not be performed due to missing data in the invoice.; 2. Incorrect HSN code in the invoice  exceeding 8 digits.; 3. invoice is older than 6 months.; 4. Gross total mismatch; 5. IGST charged incorrectly as the buyer and the seller state is same.,,,inr,11595.00,27AACPJ7663A1ZX,PUR2577645-1,Exceptions Alert,,
2021864951.pdf,Invoice,30/12/2021,,198318245,6690//20-2021,29/12/2021,,Yogash Fruits Company,,Sodexo Food Solutions India Pvt Ltd,1. Net total value in the invoice does not match the actual line total.; 2. No PO number found in the Invoice and in Access HR data; 3. Gross total mismatch; 4. CGST / SGST should be charged for the same state invoice.,,,inr,1578.00,27BFPPP5143A1ZG,,Exceptions Alert,,
2021626800.pdf,Invoice,,,198318230,inv1/76@/2021 /301,30/12/2021,,HUMAIN HEALTH,VMD1089808,M/s. Sodexo India Services Private. Limited.,,,,INR,1200.00,33AAACR2S47Q1Z3,PUR2588314,Supplier Approval Pending,,
2021629788.pdf,Invoice,30/12/2021,,198318212,inv 131,31/12/2021,,Sri Veerabhadra Travels,,Sodexo Technical Services India Pvt Ltd.,1. Net total value in the invoice does not match the actual line total.; 2. This invoice exceeds the transaction limit set for this supplier.; 3. Checks for Individual Tax ID could not be performed due to missing data in the invoice.; 4. No PO number found in the Invoice and in Access HR data; 5. HSN code is missing in Invoice.; 6. GST number missing in the invoice.; 7. Invoice raised on a future date; 8. Gross total mismatch; 9. Buyer & Supplier GST number missing.; 10. Invalid characters present in the invoice number.,,,inr,2247.00,,,Exceptions Alert,,
Dominos_Bill_Booked.pdf,Invoice,29/12/2021,,198228655,89676_88,01/01/2022,,LIKITHA TRANSPORT,,Sodexo Food Solutions,1. Net total value in the invoice does not match the actual line total.; 2. No PO number found in the Invoice and in Access HR data; 3. HSN code is missing in Invoice.; 4. Invoice raised on a future date; 5. Gross total mismatch; 6. IGST should be charged as the buyer and the seller state is different.; 7. Invalid characters present in the invoice number.,,,£,100.00,123456789,,Exceptions Alert,,
2021164130.pdf,Invoice,29/12/2021,,198212538,S0007586,21/10/2021,,OM STATIONERS & PRINTERS,,Sodexo Food Solutions India Pvt Ltd,,,,inr,16171.00,27AHSPG6984G1ZO,SIS/SES/CH/21/0035,Exceptions Approved,Successfully Exported,
6.pdf,Credit Note,,,198212535,59/2021-22,30/11/2021,,LIKITHA TRANSPORTS,,Sodexo Food Solutions India Pvt Ltd,,,,inr,57750.00,37AMEPL9478M3Z3,poserv1102279,Processed,Successfully Exported,
9new.pdf,,12/12/2021,sodexo.india@checkaninvoice.com,198197943,,,12/12/2021,,,Not available,,,,,,,,Under Process,,
9new.pdf,Invoice,29/12/2021,sodexo.india@checkaninvoice.com,198196256,SES/330/21-22,07/12/2021,12/12/2021,SRINIVASA ENGINEERING SOLUTIONS,ALD/ENR/2276/2009,Sodexo Food Solutions India Pvt Ltd,,,,INR,52244.50,36ABPFS1302M1ZY,PO/SERV//022376,Exceptions Approved,Not synced,
9@#_1.pdf,Invoice,29/12/2021,sodexo.india@checkaninvoice.com,198195081,SES/330/21-23,03/12/2021,12/12/2021,SRINIVASA ENGINEERING SOLUTIONS,ALD/ENR/226/2009,Sodexo Food Solutions India Pvt Ltd,,,,INR,52244.50,36ABPFS1302M1ZY,PO/SERV//022376,Exceptions Approved,Not synced,
9_1.pdf,Credit Note,12/12/2021,sodexo.india@checkaninvoice.com,198195048,21-22,07/12/2021,12/12/2021,SRINIVASA ENGINEERING SOLUTIONS,ALD/ENR/227,Sodexo Food Solutions India Pvt Ltd,,,,inr,52244.50,36ABPFS1302M1ZY,PO/SERV//022376,Processed,Not synced,
9.pdf,Invoice,29/12/2021,sodexo.india@checkaninvoice.com,198192121,SES/330/21-22,07/12/2021,12/12/2021,SRINIVASA ENGINEERING SOLUTIONS,ALD/ENR/2276/2009,Sodexo Food Solutions India Pvt Ltd,,HSN/SAC Code missing on the invoice,,INR,52364.71,36ABPFS1302M1ZY,PO/SERV//022376,Rejected,,
55653_2021871170.pdf,Invoice,28/12/2021,,198115801,NP79506,01/12/2021,,BLUE BELLOffice Solution,NP79506,Sodexo Technical Services India Pvt Ltd.,,GST No not on invoice,,£,11495.00,27AACPJ7663A1ZX,PUR2577645-1,Rejected,,
2021871170.pdf,Invoice,28/12/2021,,198115284,1417,12/12/2021,,TUK TUK SRI MOTHER DAIRY223,,Sodexo Food Solutions India Pvt Ltd,,GST No not on invoice,,INR,10.00,06ANAPR7303QIZM,,Rejected,,
OCAC-INTERPOLE-BILL.pdf,Invoice,28/12/2021,sodexo.india@checkaninvoice.com,198112818,9242/155/2020,12/06/2021,12/12/2021,INTERPOL SECURITY SERVICE,IN939,Sodexo Food Solutions India Pvt Ltd,,,,INR,422359.00,21AABF17886F1ZD,,Exceptions Approved,Successfully Exported,
6.pdf,Credit Note,,,198110508,jhb87,14/12/2021,,Suntime Traders Pvt. Ltd,,Sodexo Food Solutions India Pvt Ltd,,,,INR,10.00,06ANAPR7303Q1ZM,,Processed,Successfully Exported,
Invoice 5.pdf,Invoice,12/12/2021,sodexo.india@checkaninvoice.com,198108075,022/211,19/10/2021,12/12/2021,DINESH N RAIKUNDLIA,VND006962,Sodexo India Services Private Limited,,The invoice was rejected because the supplier was not approved by Pankaj.,,INR,6000.00,09CMRPS99709H1ZQ,PO/024547,Rejected,,
2021626800.pdf,Invoice,28/12/2021,,198107830,hvj,10/12/2021,,Rane Madras Ltd,VND018252,Sodexo India Services Pvt Ltd,,GST No not on invoice,,INR,1000.00,33AAHCD1143R1ZI,PUR2588314,Rejected,,
2021224440.pdf,Invoice,28/12/2021,,198107811,1,02/12/2021,,Aditi Manav,vc3243,Sodexo Food Solutions India Pvt Ltd,,GST No not on invoice,,INR,17000.00,,,Rejected,,
42.pdf,Invoice,28/12/2021,sodexo.india@checkaninvoice.com,198069943,032/21,19/10/2021,12/12/2021,DINESH N RAIKUNDLIA,vc1223,Sodexo Technical Services India Pvt Ltd.,,Incorrect Sodexo Entity,,INR,6208.00,,P0/026S97,Rejected,,
41.pdf,Invoice,28/12/2021,sodexo.india123@checkaninvoice.com,198069805,122,12/06/2021,12/12/2021,INTERPOL SECURITY SERVICE,vc.242,Sodexo Technical Services India Pvt Ltd.,1. Net total value in the invoice does not match the actual line total.,,,INR,1291.00,20AABF17886F1ZD,032/21,Exceptions Alert,,
4.pdf,Credit Note,12/12/2021,sodexo.india@checkaninvoice.com,198069757,213123,21/08/2021,12/12/2021,DINESH N RAIKUNDLIA,vc.123,Sodexo Technical Services India Pvt Ltd.,,,,INR,1602.00,,032/22,Processed,Successfully Exported,
4.pdf,,12/12/2021,sodexo.india@checkinvoice.com,198069754,,,12/12/2021,,,Not available,,,,,,,,Under Process,,
4.pdf,,12/12/2021,sodexo.india123@checkaninvoice.com,198069743,,,12/12/2021,,,Not available,,,,,,,,Under Process,,
33557-003.pdf,Invoice,28/12/2021,sodexo.india@checkaninvoice.com,198069703,inv/12/2020,12/09/2021,12/12/2021,Harish Bakery,VCM.90,Sodexo Food Solutions India Pvt Ltd,,Incomplete invoice details,,INR,700.00,09CMRPS7797H1ZQ,PUR/12,Rejected,,
1.pdf,,12/12/2021,sodexo.india@checkaninvoice.com,198069620,,,12/12/2021,,,Not available,,,,,,,,Under Process,,
1.pdf,,12/12/2021,sodexo.india@checkaninvoice.com,198069611,,,12/12/2021,,,Not available,,,,,,,,Under Process,,
sample-pdf-download-10-mb.pdf,,12/12/2021,sodexo.india@checkaninvoice.com,198069356,,,12/12/2021,,,Not available,,,,,,,,Under Process,,
2021864951.pdf,,12/12/2021,sodexo.india@checkaninvoice.com,198069287,,,12/12/2021,,,Not available,,,,,,,,Under Process,,
2021864951.pdf,Credit Note,12/12/2021,sodexo.india@checkaninvoice.com,198069116,6690,04/12/2021,12/12/2021,Yogash Fruits Company,VND006870,Sodexo INDIA 123,,,,INR,789.00,27BFPPP5143A1ZG,PUR2579419-1,Processed,Not synced,
2021864951.pdf,Credit Note,12/12/2021,sodexo.india@checkaninvoice.com,198069067,6690,04/12/2021,12/12/2021,Yogash Fruits Company,VND006870,Sodexo Technical Services India Pvt Ltd.,,,,inr,789.00,27BFPPP5143A1ZG,PUR2579419-1,Processed,Not synced,
2021989460.pdf,Invoice,27/12/2021,sodexo.india@checkaninvoice.com,198068739,TBPL/2021-22/167,03/12/2021,12/12/2021,Technomac Biomatics Pvt.Ltd,,Sodexo Technical Services India Pvt Ltd.,,,,inr,8260.00,19AACC38553G1Z0,STD/SD/004012,Exceptions Approved,Successfully Exported,
Invoice5.pdf,Invoice,27/12/2021,sodexo.india@checkaninvoice.com,198068082,NOVEMBER/GI/25,07/01/2021,12/12/2021,JOYITA GHOSH,vc123,Sodexo Food Solutions India Pvt Ltd,,,,inr,5123.00,,PO/SERV//019597,Exceptions Approved,Successfully Exported,
Dominos1.pdf,Invoice,28/12/2021,Jharna.agarwal@checkaninvoice.com,198067821,76777887,11/11/2021,12/12/2021,Suntime Traders Pvt. Ltd,VNjh,Sodexo Food Solutions India Pvt Ltd,,GST No not on invoice,,INR,39898.00,06ANAPR7303QIZM,,Rejected,,
Dominos1.pdf,,12/12/2021,Jharna.agarwal@checkaninvoice.com,198067817,,,12/12/2021,,,Not available,,,,,,,,Under Process,,
Lupin_bill.pdf,Invoice,27/12/2021,,198066059,COR2021-97,30/09/2020,,MS ABHAY PURANIK,IN1038,Sodexo Technical Services India Pvt Ltd,,,,INR,7866.00,23ACCPP7040F1ZY,,Exceptions Approved,Not synced,
Dominos1.pdf,Credit Note,12/12/2021,Jharna.agarwal@checkaninvoice.com,198065730,12343,13/05/2019,12/12/2021,Bridges Outcomes Partnerships Limited,vc123,Sodexo Food Solutions India Pvt Ltd,,,,inr,300.00,,33,Processed,Successfully Exported,
Dominos1.pdf,,12/12/2021,Jharna.agarwal@checkaninvoice.com,198064608,,,12/12/2021,,,Not available,,,,,,,,Under Process,,
OCAC_INTERPOLE_BILL.PDF,Invoice,27/12/2021,,198064312,9242/155/2020,27/12/2021,,INTERPOL SECURITY SERVICE,IN939,Sodexo Food Solutions India Pvt Ltd,,,,INR,422359.00,21AABF17886F1ZD,,Supplier Approval Pending,,
6.pdf,Invoice,27/12/2021,,198063422,59/2021-22,30/11/2021,,LIKITHA TRANSPORTS,,M/s Sodexo India Services Pvt Ltd,,,,INR,57750.00,37AMEPL9478M3Z3,,Exceptions Approved,Not synced,
5.pdf,Invoice,27/12/2021,,198063420,ISL-001263/ 21-22,14/10/2021,,R.P.ENTERPRISES,VC045465,SODEXO INDIA SERVICES PRIVATE LIMITED,,,,INR,14155.00,27AAGER7400R120,P0/026948,No Exceptions,Not synced,
Dominos1.pdf,,12/12/2021,Jharna.agarwal@checkaninvoice.com,198063382,,,12/12/2021,,,Not available,,,,,,,,Under Process,,
Dominos1.pdf,,12/12/2021,Jharna.agarwal@checkaninvoice.com,198049159,,,12/12/2021,,,Not available,,,,,,,,Under Process,,
Dominos_Bill_Booked.pdf,Invoice,26/12/2021,,198049086,123,26/12/2021,,123,,Jharna,,,,£,0.00,123,,Exceptions Approved,Not synced,
ashgoalINvoice.pdf,Credit Note,,,198043885,jhyu8,12/12/2021,,GovNet Communications,,Sodexo Food Solutions India Pvt Ltd,,,,INR,100.00,06ANAPR7303QIZM,ink8,Processed,Successfully Exported,
EG2.pdf,Credit Note,,,198043641,1417bc,21/12/2021,,Neeaj rtets,,Sodexo Food Solutions India Pvt Ltd,,,,INR,1010.00,06ANAPR7303QIZM,,Processed,Not synced,
ashgoalINvoice.pdf,Invoice,26/12/2021,,198043549,36619,26/12/2021,,J&J Company,,Sodexo Food Solutions India Pvt Ltd,,,,INR,100978.00,06ANAPR7303QIZM,23PO,No Exceptions,Synced,
File_101.pdf,Invoice,25/12/2021,,198036153,PIT 03,25/12/2021,,J&J Company,,Sodexo Food Solutions India Pvt Ltd,,,,INR,60000.00,,1235,No Exceptions,Successfully Exported,
Pankaj_Testfile.pdf,Invoice,25/12/2021,,198036096,0000161965,30/09/2019,,GovNet Communications,,Sodexo Technical Services India Pvt Ltd,,,,INR,1250.00,,1234,Exceptions Approved,Not synced,
Pankaj_Testfile.pdf,Invoice,25/12/2021,,198035374,0000161965,25/12/2021,,GovNet Communications,,Check An Invoice,,,,INR,0.00,,,Exceptions Approved,Not synced,
